meeting_id,original_filename,meeting_year,meeting_date,committee_name,source_url,final_url,page_count,file_size,sha256
N053487,N053487.pdf,25,1029,문화체육관광위원회,https://record.assembly.go.kr/assembly/viewer/minutes/download/pdf.do?id=55523,https://record.assembly.go.kr/assembly/viewer/minutes/download/pdf.do?id=55523,159,1665703,b8bbaecf71e70bf4ce91292a41d0230e3c964effe615e15e221933a51ea05dc8
N053485,N053485.pdf,25,1027,문화체육관광위원회,https://record.assembly.go.kr/assembly/viewer/minutes/download/pdf.do?id=55521,https://record.assembly.go.kr/assembly/viewer/minutes/download/pdf.do?id=55521,158,1662106,4eb40f2ceda04f50eca45aea3fae6235b46a1529896e4bd2907a2fa7ff82bfc4
N053483,N053483.pdf,25,1023,문화체육관광위원회,https://record.assembly.go.kr/assembly/viewer/minutes/download/pdf.do?id=55532,https://record.assembly.go.kr/assembly/viewer/minutes/download/pdf.do?id=55532,122,1402193,064b01e592dde906c02b842f068f9a8dea36193aed1d093a33be7e93ab3bd8e1
N053482,N053482.pdf,25,1022,문화체육관광위원회,https://record.assembly.go.kr/assembly/viewer/minutes/download/pdf.do?id=55519,https://record.assembly.go.kr/assembly/viewer/minutes/download/pdf.do?id=55519,121,1387053,ae08d12998ba6203ba867d686d9f3dcafa5f72b968d2c5462436b9e1b3cc0973
N053480,N053480.pdf,25,1020,문화체육관광위원회,https://record.assembly.go.kr/assembly/viewer/minutes/download/pdf.do?id=55517,https://record.assembly.go.kr/assembly/viewer/minutes/download/pdf.do?id=55517,160,1628447,400287e9f8a667599422e18fa8e8eb01c45cbad069b7c8327d413eeba04b6d0e
N053481,N053481.pdf,25,1016,문화체육관광위원회,https://record.assembly.go.kr/assembly/viewer/minutes/download/pdf.do?id=55518,https://record.assembly.go.kr/assembly/viewer/minutes/download/pdf.do?id=55518,122,1398663,cb59af05d2669fbe35009ce092f92d894d8830a44efb997bd3e38312938e545d
N053479,N053479.pdf,25,1014,문화체육관광위원회,https://record.assembly.go.kr/assembly/viewer/minutes/download/pdf.do?id=55531,https://record.assembly.go.kr/assembly/viewer/minutes/download/pdf.do?id=55531,150,1676340,9f675ee65967a054b88a38dcd015e4153a22621b0828d2f7c471ed77984b0fd0
054622,054622.pdf,24,1024,문화체육관광위원회,https://record.assembly.go.kr/assembly/viewer/minutes/download/pdf.do?id=52032,https://record.assembly.go.kr/assembly/viewer/minutes/download/pdf.do?id=52032,223,2233947,3653fad5be33e8009f6ca2af80969647450775818406fd86530165c308edc307
054576,054576.pdf,24,1022,문화체육관광위원회,https://record.assembly.go.kr/assembly/viewer/minutes/download/pdf.do?id=52010,https://record.assembly.go.kr/assembly/viewer/minutes/download/pdf.do?id=52010,206,2033101,669299172462c6c23180e766055e863f13db5a7f3d447535c590dc58876e79b4
054519,054519.pdf,24,1018,문화체육관광위원회,https://record.assembly.go.kr/assembly/viewer/minutes/download/pdf.do?id=51990,https://record.assembly.go.kr/assembly/viewer/minutes/download/pdf.do?id=51990,116,1503081,fa685de2164d87a622d7019acdf19872b1bdcac18d4b8a1b4bb700b93a2ff810
054435,054435.pdf,24,1017,문화체육관광위원회,https://record.assembly.go.kr/assembly/viewer/minutes/download/pdf.do?id=51972,https://record.assembly.go.kr/assembly/viewer/minutes/download/pdf.do?id=51972,143,1643445,851a8e88f1091c35d9080166b5b19ac680dff46dd41954b6194e685f8b2f48b5
054345,054345.pdf,24,1015,문화체육관광위원회,https://record.assembly.go.kr/assembly/viewer/minutes/download/pdf.do?id=51949,https://record.assembly.go.kr/assembly/viewer/minutes/download/pdf.do?id=51949,189,1980751,26cf21b3a4c8bd4790822a66e4bed7379fe39bb2013a7cc5790d369ef9210003
054269,054269.pdf,24,1010,문화체육관광위원회,https://record.assembly.go.kr/assembly/viewer/minutes/download/pdf.do?id=51913,https://record.assembly.go.kr/assembly/viewer/minutes/download/pdf.do?id=51913,149,1724754,705695c2b08eee9ea070adf170793a1b49d4459ed01c1ec1a24c53f9fc336eb7
054235,054235.pdf,24,1007,문화체육관광위원회,https://record.assembly.go.kr/assembly/viewer/minutes/download/pdf.do?id=51892,https://record.assembly.go.kr/assembly/viewer/minutes/download/pdf.do?id=51892,167,1853418,8e4ca82fe491bbcd61c6db1c8ade26cd2ff75487f3554f3daaa457516a621bd2
053389,053389.pdf,23,1026,문화체육관광위원회,https://record.assembly.go.kr/assembly/viewer/minutes/download/pdf.do?id=45023,https://record.assembly.go.kr/assembly/viewer/minutes/download/pdf.do?id=45023,77,2072576,001312bc504d6f6454dae444e7b733ddfb9ecfb72fe19048cba03fc1eb3bdca0
053598,053598.pdf,23,1024,문화체육관광위원회,https://record.assembly.go.kr/assembly/viewer/minutes/download/pdf.do?id=45008,https://record.assembly.go.kr/assembly/viewer/minutes/download/pdf.do?id=45008,72,2080768,397ffd905cefc4097c2e7808692d154d96652aba3fcb56658acf5e757e45dfab
053740,053740.pdf,23,1023,문화체육관광위원회,https://record.assembly.go.kr/assembly/viewer/minutes/download/pdf.do?id=44994,https://record.assembly.go.kr/assembly/viewer/minutes/download/pdf.do?id=44994,66,1907712,7c99d56df3dd25ce6efe931b95c1255c0d793a24ae8bd6768481a45e5acff502
053357,053357.pdf,23,1019,문화체육관광위원회,https://record.assembly.go.kr/assembly/viewer/minutes/download/pdf.do?id=44971,https://record.assembly.go.kr/assembly/viewer/minutes/download/pdf.do?id=44971,91,2569216,3c4867700cf20e7cc9b656371cb98c06694b17921cccffbbada2afc8c5b296f0
053501,053501.pdf,23,1017,문화체육관광위원회,https://record.assembly.go.kr/assembly/viewer/minutes/download/pdf.do?id=44953,https://record.assembly.go.kr/assembly/viewer/minutes/download/pdf.do?id=44953,87,2391040,1f58a7d8a17c9941a2c2c72e6ce5f8335967b7962af68d30ac59386c56909389
053680,053680.pdf,23,1012,문화체육관광위원회,https://record.assembly.go.kr/assembly/viewer/minutes/download/pdf.do?id=44911,https://record.assembly.go.kr/assembly/viewer/minutes/download/pdf.do?id=44911,74,2053120,62c15b83c31f925ffe70d055480e0f38aae03813be49f4d3ef4ffae1ff78a2bc
053329,053329.pdf,23,1010,문화체육관광위원회,https://record.assembly.go.kr/assembly/viewer/minutes/download/pdf.do?id=44894,https://record.assembly.go.kr/assembly/viewer/minutes/download/pdf.do?id=44894,81,2197504,59fd5d2554130681de7e011678a4c4e139cd4bff59f583f43bcdfc12fa4e5aa2
052315,052315.pdf,22,1024,문화체육관광위원회,https://record.assembly.go.kr/assembly/viewer/minutes/download/pdf.do?id=44871,https://record.assembly.go.kr/assembly/viewer/minutes/download/pdf.do?id=44871,92,2428928,7d722704f728d45eae461aa25325be9f7ede8b886e9e73b15e6be10d1e44c5d9
