segment_no,vector_row
050308_SEG_TURN_00570,0
050430_SEG_TURN_00137,1
050308_SEG_PREV_CURR_00570,2
050308_SEG_CURR_NEXT_00569,3
050430_SEG_PREV_CURR_00138,4
050430_SEG_CURR_NEXT_00137,5
050430_SEG_CURR_NEXT_00136,6
050430_SEG_PREV_CURR_00137,7
050308_SEG_TURN_00385,8
050308_SEG_TURN_00074,9
050350_SEG_TURN_00217,10
050308_SEG_CURR_NEXT_00384,11
050308_SEG_PREV_CURR_00385,12
050308_SEG_CURR_NEXT_00570,13
050308_SEG_PREV_CURR_00571,14
050308_SEG_PREV_CURR_00074,15
050308_SEG_CURR_NEXT_00073,16
050350_SEG_TURN_01264,17
050350_SEG_CURR_NEXT_00216,18
050350_SEG_PREV_CURR_00217,19
050308_SEG_PREV_CURR_00075,20
050308_SEG_CURR_NEXT_00074,21
050492_SEG_TURN_00344,22
050492_SEG_CURR_NEXT_00344,23
050492_SEG_PREV_CURR_00345,24
050492_SEG_PREV_CURR_00344,25
050492_SEG_CURR_NEXT_00343,26
050430_SEG_TURN_01139,27
050615_SEG_TURN_00491,28
050350_SEG_PREV_CURR_01264,29
050350_SEG_CURR_NEXT_01263,30
050350_SEG_CURR_NEXT_01264,31
050350_SEG_PREV_CURR_01265,32
050430_SEG_TURN_00736,33
050350_SEG_TURN_00106,34
050350_SEG_PREV_CURR_00218,35
050350_SEG_CURR_NEXT_00217,36
050430_SEG_TURN_00097,37
050606_SEG_TURN_00718,38
050430_SEG_CURR_NEXT_00736,39
050430_SEG_PREV_CURR_00737,40
050430_SEG_PREV_CURR_00098,41
050430_SEG_CURR_NEXT_00097,42
050308_SEG_CURR_NEXT_00385,43
050308_SEG_PREV_CURR_00386,44
050606_SEG_TURN_00565,45
050606_SEG_TURN_00737,46
050430_SEG_TURN_00930,47
050430_SEG_TURN_00431,48
050606_SEG_PREV_CURR_00738,49
050492_SEG_TURN_00145,50
050615_SEG_TURN_01350,51
050615_SEG_CURR_NEXT_01349,52
050615_SEG_PREV_CURR_01350,53
050615_SEG_PREV_CURR_01351,54
050615_SEG_CURR_NEXT_01350,55
050350_SEG_TURN_01104,56
050606_SEG_TURN_00914,57
050673_SEG_TURN_00399,58
050606_SEG_TURN_00284,59
050606_SEG_PREV_CURR_00285,60
050606_SEG_CURR_NEXT_00284,61
050430_SEG_TURN_00500,62
050492_SEG_CURR_NEXT_00144,63
050492_SEG_PREV_CURR_00145,64
050606_SEG_PREV_CURR_00915,65
050606_SEG_CURR_NEXT_00914,66
050606_SEG_CURR_NEXT_00913,67
050606_SEG_PREV_CURR_00914,68
050606_SEG_CURR_NEXT_00283,69
050606_SEG_PREV_CURR_00284,70
050615_SEG_TURN_01163,71
050673_SEG_TURN_01172,72
050673_SEG_PREV_CURR_00400,73
050673_SEG_CURR_NEXT_00399,74
050615_SEG_TURN_01494,75
050430_SEG_TURN_00674,76
050492_SEG_TURN_01369,77
050615_SEG_CURR_NEXT_01163,78
050615_SEG_PREV_CURR_01164,79
050430_SEG_CURR_NEXT_00500,80
050430_SEG_PREV_CURR_00501,81
050673_SEG_PREV_CURR_00399,82
050673_SEG_CURR_NEXT_00398,83
050430_SEG_PREV_CURR_00003,84
050430_SEG_CURR_NEXT_00002,85
050350_SEG_TURN_01363,86
050606_SEG_TURN_01149,87
050673_SEG_PREV_CURR_01173,88
050673_SEG_CURR_NEXT_01172,89
050350_SEG_PREV_CURR_01363,90
050350_SEG_CURR_NEXT_01362,91
050673_SEG_PREV_CURR_01172,92
050673_SEG_CURR_NEXT_01171,93
050673_SEG_TURN_00440,94
050606_SEG_TURN_00956,95
050492_SEG_CURR_NEXT_01369,96
050492_SEG_PREV_CURR_01370,97
050606_SEG_CURR_NEXT_01149,98
050606_SEG_PREV_CURR_01150,99
050350_SEG_TURN_00329,100
050350_SEG_TURN_01182,101
050615_SEG_TURN_01426,102
050350_SEG_CURR_NEXT_00328,103
050350_SEG_PREV_CURR_00329,104
050350_SEG_CURR_NEXT_00329,105
050350_SEG_PREV_CURR_00330,106
050615_SEG_CURR_NEXT_01425,107
050615_SEG_PREV_CURR_01426,108
050615_SEG_TURN_00143,109
050492_SEG_TURN_00937,110
050615_SEG_PREV_CURR_00144,111
050615_SEG_CURR_NEXT_00143,112
050615_SEG_CURR_NEXT_01426,113
050615_SEG_PREV_CURR_01427,114
050615_SEG_PREV_CURR_00143,115
050615_SEG_CURR_NEXT_00142,116
050492_SEG_PREV_CURR_00938,117
050492_SEG_CURR_NEXT_00937,118
050492_SEG_CURR_NEXT_00933,119
050492_SEG_PREV_CURR_00934,120
050492_SEG_TURN_00934,121
050350_SEG_PREV_CURR_01183,122
050350_SEG_CURR_NEXT_01182,123
050350_SEG_PREV_CURR_01182,124
050350_SEG_CURR_NEXT_01181,125
050430_SEG_TURN_00844,126
050430_SEG_CURR_NEXT_00844,127
050430_SEG_PREV_CURR_00845,128
050673_SEG_TURN_00209,129
050308_SEG_TURN_00213,130
050430_SEG_PREV_CURR_00844,131
050430_SEG_CURR_NEXT_00843,132
050673_SEG_TURN_00539,133
050606_SEG_TURN_00128,134
050606_SEG_TURN_01114,135
050308_SEG_PREV_CURR_00213,136
050308_SEG_CURR_NEXT_00212,137
050492_SEG_CURR_NEXT_00936,138
050492_SEG_PREV_CURR_00937,139
050606_SEG_CURR_NEXT_00128,140
050606_SEG_PREV_CURR_00129,141
050606_SEG_CURR_NEXT_00127,142
050606_SEG_PREV_CURR_00128,143
050492_SEG_TURN_00933,144
050606_SEG_CURR_NEXT_01113,145
050606_SEG_PREV_CURR_01114,146
050606_SEG_PREV_CURR_01115,147
050606_SEG_CURR_NEXT_01114,148
050673_SEG_CURR_NEXT_00209,149
050615_SEG_TURN_00996,150
050615_SEG_CURR_NEXT_00995,151
050615_SEG_PREV_CURR_00996,152
050606_SEG_TURN_01344,153
050606_SEG_CURR_NEXT_01344,154
050606_SEG_PREV_CURR_01345,155
050606_SEG_PREV_CURR_01344,156
050606_SEG_CURR_NEXT_01343,157
050308_SEG_TURN_00234,158
050673_SEG_TURN_00168,159
050492_SEG_TURN_00884,160
050308_SEG_TURN_00594,161
050615_SEG_PREV_CURR_00997,162
